0,36,46,0.225,1
0,48,53,0.225,2
0.25,40,48,0.225,1
0.25,52,55,0.225,2
0.5,53,56,0.225,2
0.5,41,49,0.225,1
0.75,43,50,0.225,1
0.75,55,57,0.225,2
1,57,58,0.225,2
1,45,51,0.225,1
1.25,43,50,0.225,1
1.25,55,57,0.225,2
1.5,41,49,0.225,1
1.5,53,56,0.225,2
1.75,52,55,0.225,2
1.75,40,48,0.225,1
2,38,47,0.225,1
2,50,54,0.225,2
2.25,41,49,0.225,1
2.25,53,56,0.225,2
2.5,43,50,0.225,1
2.5,55,57,0.225,2
2.75,57,58,0.225,2
2.75,45,51,0.225,1
3,47,52,0.225,1
3,59,59,0.225,2
3.25,45,51,0.225,1
3.25,57,58,0.225,2
3.5,43,50,0.225,1
3.5,55,57,0.225,2
3.75,53,56,0.225,2
3.75,41,49,0.225,1
4,52,55,0.225,2
4,40,48,0.225,1
4.25,55,57,0.225,2
4.25,43,50,0.225,1
4.5,45,51,0.225,1
4.5,57,58,0.225,2
4.75,59,59,0.225,2
4.75,47,52,0.225,1
5,60,60,0.225,2
5,48,53,0.225,1
5.25,47,52,0.225,1
5.25,59,59,0.225,2
5.5,45,51,0.225,1
5.5,57,58,0.225,2
5.75,55,57,0.225,2
5.75,43,50,0.225,1
6,53,56,0.225,2
6,41,49,0.225,1
6.25,57,58,0.225,2
6.25,45,51,0.225,1
6.5,47,52,0.225,1
6.5,59,59,0.225,2
6.75,60,60,0.225,2
6.75,48,53,0.225,1
7,62,61,0.225,2
7,50,54,0.225,1
7.25,48,53,0.225,1
7.25,60,60,0.225,2
7.5,47,52,0.225,1
7.5,59,59,0.225,2
7.75,57,58,0.225,2
7.75,45,51,0.225,1
8,55,57,0.225,2
8,43,50,0.225,1
8.25,59,59,0.225,2
8.25,47,52,0.225,1
8.5,60,60,0.225,2
8.5,48,53,0.225,1
8.75,62,61,0.225,2
8.75,50,54,0.225,1
9,52,55,0.225,1
9,64,62,0.225,2
9.25,62,61,0.225,2
9.25,50,54,0.225,1
9.5,60,60,0.225,2
9.5,48,53,0.225,1
9.75,47,52,0.225,1
9.75,59,59,0.225,2
10,57,58,0.225,2
10,45,51,0.225,1
10.25,48,53,0.225,1
10.25,60,60,0.225,2
10.5,62,61,0.225,2
10.5,50,54,0.225,1
10.75,64,62,0.225,2
10.75,52,55,0.225,1
11,65,63,0.225,2
11,53,56,0.225,1
11.25,52,55,0.225,1
11.25,64,62,0.225,2
11.5,50,54,0.225,1
11.5,62,61,0.225,2
11.75,60,60,0.225,2
11.75,48,53,0.225,1
12,59,59,0.225,2
12,47,52,0.225,1
12.25,62,61,0.225,2
12.25,50,54,0.225,1
12.5,64,62,0.225,2
12.5,52,55,0.225,1
12.75,65,63,0.225,2
12.75,53,56,0.225,1
13,55,57,0.225,1
13,67,64,0.225,2
13.25,65,63,0.225,2
13.25,53,56,0.225,1
13.5,64,62,0.225,2
13.5,52,55,0.225,1
13.75,50,54,0.225,1
13.75,62,61,0.225,2
14,60,60,0.225,2
14,48,53,0.225,1
14.25,52,55,0.225,1
14.25,64,62,0.225,2
14.5,65,63,0.225,2
14.5,53,56,0.225,1
14.75,67,64,0.225,2
14.75,55,57,0.225,1
15,69,65,0.225,2
15,57,58,0.225,1
15.25,55,57,0.225,1
15.25,67,64,0.225,2
15.5,53,56,0.225,1
15.5,65,63,0.225,2
15.75,64,62,0.225,2
15.75,52,55,0.225,1
16,62,61,0.225,2
16,50,54,0.225,1
16.25,53,56,0.225,1
16.25,65,63,0.225,2
16.5,67,64,0.225,2
16.5,55,57,0.225,1
16.75,57,58,0.225,1
16.75,69,65,0.225,2
17,59,59,0.225,1
17,71,66,0.225,2
17.25,57,58,0.225,1
17.25,69,65,0.225,2
17.5,55,57,0.225,1
17.5,67,64,0.225,2
17.75,53,56,0.225,1
17.75,65,63,0.225,2
18,52,55,0.225,1
18,64,62,0.225,2
18.25,55,57,0.225,1
18.25,67,64,0.225,2
18.5,69,65,0.225,2
18.5,57,58,0.225,1
18.75,59,59,0.225,1
18.75,71,66,0.225,2
19,72,67,0.225,2
19,60,60,0.225,1
19.25,71,66,0.225,2
19.25,59,59,0.225,1
19.5,57,58,0.225,1
19.5,69,65,0.225,2
19.75,67,64,0.225,2
19.75,55,57,0.225,1
20,65,63,0.225,2
20,53,56,0.225,1
20.25,69,65,0.225,2
20.25,57,58,0.225,1
20.5,59,59,0.225,1
20.5,71,66,0.225,2
20.75,60,60,0.225,1
20.75,72,67,0.225,2
21,62,61,0.225,1
21,74,68,0.225,2
21.25,72,67,0.225,2
21.25,60,60,0.225,1
21.5,71,66,0.225,2
21.5,59,59,0.225,1
21.75,69,65,0.225,2
21.75,57,58,0.225,1
22,67,64,0.225,2
22,55,57,0.225,1
22.25,59,59,0.225,1
22.25,71,66,0.225,2
22.5,72,67,0.225,2
22.5,60,60,0.225,1
22.75,74,68,0.225,2
22.75,62,61,0.225,1
23,76,69,0.225,2
23,64,62,0.225,1
23.25,62,61,0.225,1
23.25,74,68,0.225,2
23.5,60,60,0.225,1
23.5,72,67,0.225,2
23.75,71,66,0.225,2
23.75,59,59,0.225,1
24,69,65,0.225,2
24,57,58,0.225,1
24.25,60,60,0.225,1
24.25,72,67,0.225,2
24.5,62,61,0.225,1
24.5,74,68,0.225,2
24.75,76,69,0.225,2
24.75,64,62,0.225,1
25,77,70,0.225,2
25,65,63,0.225,1
25.25,64,62,0.225,1
25.25,76,69,0.225,2
25.5,74,68,0.225,2
25.5,62,61,0.225,1
25.75,72,67,0.225,2
25.75,60,60,0.225,1
26,59,59,0.225,1
26,71,66,0.225,2
26.25,74,68,0.225,2
26.25,62,61,0.225,1
26.5,64,62,0.225,1
26.5,76,69,0.225,2
26.75,77,70,0.225,2
26.75,65,63,0.225,1
27,79,71,0.225,2
27,67,64,0.225,1
27.25,65,63,0.225,1
27.25,77,70,0.225,2
27.5,76,69,0.225,2
27.5,64,62,0.225,1
27.75,62,61,0.225,1
27.75,74,68,0.225,2
28,67,64,0.225,1
28,79,71,0.225,2
28.25,76,69,0.225,2
28.25,64,62,0.225,1
28.5,74,68,0.225,2
28.5,62,61,0.225,1
28.75,72,67,0.225,2
28.75,60,60,0.225,1
29,71,66,0.225,2
29,59,59,0.225,1
29.25,72,67,0.225,2
29.25,60,60,0.225,1
29.5,74,68,0.225,2
29.5,62,61,0.225,1
29.75,64,62,0.225,1
29.75,76,69,0.225,2
30,77,70,0.225,2
30,65,63,0.225,1
30.25,62,61,0.225,1
30.25,74,68,0.225,2
30.5,72,67,0.225,2
30.5,60,60,0.225,1
30.75,71,66,0.225,2
30.75,59,59,0.225,1
31,69,65,0.225,2
31,57,58,0.225,1
31.25,59,59,0.225,1
31.25,71,66,0.225,2
31.5,60,60,0.225,1
31.5,72,67,0.225,2
31.75,74,68,0.225,2
31.75,62,61,0.225,1
32,76,69,0.225,2
32,64,62,0.225,1
32.25,72,67,0.225,2
32.25,60,60,0.225,1
32.5,71,66,0.225,2
32.5,59,59,0.225,1
32.75,69,65,0.225,2
32.75,57,58,0.225,1
33,55,57,0.225,1
33,67,64,0.225,2
33.25,57,58,0.225,1
33.25,69,65,0.225,2
33.5,71,66,0.225,2
33.5,59,59,0.225,1
33.75,60,60,0.225,1
33.75,72,67,0.225,2
34,62,61,0.225,1
34,74,68,0.225,2
34.25,71,66,0.225,2
34.25,59,59,0.225,1
34.5,57,58,0.225,1
34.5,69,65,0.225,2
34.75,67,64,0.225,2
34.75,55,57,0.225,1
35,65,63,0.225,2
35,53,56,0.225,1
35.25,67,64,0.225,2
35.25,55,57,0.225,1
35.5,69,65,0.225,2
35.5,57,58,0.225,1
35.75,59,59,0.225,1
35.75,71,66,0.225,2
36,72,67,0.225,2
36,60,60,0.225,1
36.25,69,65,0.225,2
36.25,57,58,0.225,1
36.5,67,64,0.225,2
36.5,55,57,0.225,1
36.75,65,63,0.225,2
36.75,53,56,0.225,1
37,64,62,0.225,2
37,52,55,0.225,1
37.25,65,63,0.225,2
37.25,53,56,0.225,1
37.5,67,64,0.225,2
37.5,55,57,0.225,1
37.75,69,65,0.225,2
37.75,57,58,0.225,1
38,59,59,0.225,1
38,71,66,0.225,2
38.25,55,57,0.225,1
38.25,67,64,0.225,2
38.5,65,63,0.225,2
38.5,53,56,0.225,1
38.75,52,55,0.225,1
38.75,64,62,0.225,2
39,62,61,0.225,2
39,50,54,0.225,1
39.25,64,62,0.225,2
39.25,52,55,0.225,1
39.5,53,56,0.225,1
39.5,65,63,0.225,2
39.75,55,57,0.225,1
39.75,67,64,0.225,2
40,57,58,0.225,1
40,69,65,0.225,2
40.25,65,63,0.225,2
40.25,53,56,0.225,1
40.5,52,55,0.225,1
40.5,64,62,0.225,2
40.75,50,54,0.225,1
40.75,62,61,0.225,2
41,60,60,0.225,2
41,48,53,0.225,1
41.25,62,61,0.225,2
41.25,50,54,0.225,1
41.5,52,55,0.225,1
41.5,64,62,0.225,2
41.75,65,63,0.225,2
41.75,53,56,0.225,1
42,67,64,0.225,2
42,55,57,0.225,1
42.25,64,62,0.225,2
42.25,52,55,0.225,1
42.5,62,61,0.225,2
42.5,50,54,0.225,1
42.75,60,60,0.225,2
42.75,48,53,0.225,1
43,47,52,0.225,1
43,59,59,0.225,2
43.25,60,60,0.225,2
43.25,48,53,0.225,1
43.5,50,54,0.225,1
43.5,62,61,0.225,2
43.75,64,62,0.225,2
43.75,52,55,0.225,1
44,65,63,0.225,2
44,53,56,0.225,1
44.25,50,54,0.225,1
44.25,62,61,0.225,2
44.5,48,53,0.225,1
44.5,60,60,0.225,2
44.75,47,52,0.225,1
44.75,59,59,0.225,2
45,57,58,0.225,2
45,45,51,0.225,1
45.25,47,52,0.225,1
45.25,59,59,0.225,2
45.5,60,60,0.225,2
45.5,48,53,0.225,1
45.75,62,61,0.225,2
45.75,50,54,0.225,1
46,64,62,0.225,2
46,52,55,0.225,1
46.25,48,53,0.225,1
46.25,60,60,0.225,2
46.5,59,59,0.225,2
46.5,47,52,0.225,1
46.75,45,51,0.225,1
46.75,57,58,0.225,2
47,55,57,0.225,2
47,43,50,0.225,1
47.25,45,51,0.225,1
47.25,57,58,0.225,2
47.5,59,59,0.225,2
47.5,47,52,0.225,1
47.75,60,60,0.225,2
47.75,48,53,0.225,1
48,62,61,0.225,2
48,50,54,0.225,1
48.25,59,59,0.225,2
48.25,47,52,0.225,1
48.5,45,51,0.225,1
48.5,57,58,0.225,2
48.75,43,50,0.225,1
48.75,55,57,0.225,2
49,41,49,0.225,1
49,53,56,0.225,2
49.25,55,57,0.225,2
49.25,43,50,0.225,1
49.5,45,51,0.225,1
49.5,57,58,0.225,2
49.75,47,52,0.225,1
49.75,59,59,0.225,2
50,48,53,0.225,1
50,60,60,0.225,2
50.25,57,58,0.225,2
50.25,45,51,0.225,1
50.5,43,50,0.225,1
50.5,55,57,0.225,2
50.75,41,49,0.225,1
50.75,53,56,0.225,2
51,52,55,0.225,2
51,40,48,0.225,1
51.25,53,56,0.225,2
51.25,41,49,0.225,1
51.5,55,57,0.225,2
51.5,43,50,0.225,1
51.75,57,58,0.225,2
51.75,45,51,0.225,1
52,59,59,0.225,2
52,47,52,0.225,1
52.25,55,57,0.225,2
52.25,43,50,0.225,1
52.5,53,56,0.225,2
52.5,41,49,0.225,1
52.75,52,55,0.225,2
52.75,40,48,0.225,1
53,50,54,0.225,2
53,38,47,0.225,1
53.25,52,55,0.225,2
53.25,40,48,0.225,1
53.5,53,56,0.225,2
53.5,41,49,0.225,1
53.75,55,57,0.225,2
53.75,43,50,0.225,1
54,57,58,0.225,2
54,45,51,0.225,1
54.25,53,56,0.225,2
54.25,41,49,0.225,1
54.5,52,55,0.225,2
54.5,40,48,0.225,1
54.75,50,54,0.225,2
54.75,38,47,0.225,1
55,48,53,0.225,2
55,36,46,0.225,1
55.25,50,54,0.225,2
55.25,38,47,0.225,1
55.5,52,55,0.225,2
55.5,40,48,0.225,1
55.75,53,56,0.225,2
55.75,41,49,0.225,1
56,55,57,0.225,2
56,43,50,0.225,1
56.25,52,55,0.225,2
56.25,40,48,0.225,1
56.5,50,54,0.225,2
56.5,38,47,0.225,1
56.75,48,53,0.225,2
56.75,36,46,0.225,1
57,47,52,0.225,2
57,35,45,0.225,1
57.25,48,53,0.225,2
57.25,36,46,0.225,1
57.5,50,54,0.225,2
57.5,38,47,0.225,1
57.75,52,55,0.225,2
57.75,40,48,0.225,1
58,36,46,1.8,1
58,48,53,1.8,2
